Apellidosasaasa;Nombresassa;Bloque;desde ;hasta
nomnre;Apewlle;Frente Amplio Formose¤o;2019;2023
Andraus Mateo;Silvia Alejandra;Floro Eleuterio Bogado;2017;2021
Arguello;Miguela;Floro Eleuterio Bogado;2019;2023
Batista;Margarita Mar¡a In‚s;Partido Justicialista;2017;2021
Britez ;Otilia ;Partido Justicialista;2019;2023
Caballero ;Juan Domingo;Partido Justicialista;2017;2021
Cabrera ;Armando Felipe;Partido Justicialista;2019;2023
Carbajal Zieseniss;Ricardo Rodolfo;Frente Amplio Formose¤o;2017;2021
Navas;Rafael Alejandro Ceferino;Partido Justicialista;2017;2021
Insfr n ;Yanina ;Partido Justicialista;2019;2023
Insfr n ;Carlos Hugo;Partido Justicialista;2019;2023
L¢pez ;Sinforiano;Partido Justicialista;2019;2023
L¢pez Guaym s;Luis Eduardo;Partido Justicialista;2019;2023
Loto;In‚s;Partido Justicialista;2019;2023
Luna ;Noelia Ramona;Frente Amplio Formose¤o;2019;2023
Malgarini;Adri n Jos‚ ;Frente Amplio Formose¤o;2019;2023
M rquez ;Mirta Amanda;Partido Justicialista;2017;2021
Molinas ;Stella Mirna;Frente Amplio Formose¤o;2017;2021
Ram¡rez ;Enrique Eduardo;Frente Amplio Formose¤o;2017;2021
Nielsen;Jorge Jos‚;Partido Justicialista;2017;2021
Roa ;Eleutaria;Partido Justicialista;2019;2023
Rom n ;Jorge ;Partido Justicialista;2017;2021
Samaniego ;Agust¡n ;Partido Justicialista;2017;2021
Serv¡n ;Celso ;Partido Justicialista;2017;2021
Tassel ;Andrea Roxana;Frente Amplio Formose¤o;2017;2021
Vera ;Rodrigo Emmanuel;Partido Justicialista;2017;2021
Vizca¡no Braida;Roberto Domingo;Partido Justicialista;2019;2023
Zaragoza ;Irma Emilia;Partido Justicialista;2019;2023
Z rate ;Osvaldo Omar;Frente Amplio Formose¤o;2019;2023
Zarza;Jorge Luis;Partido Justicialista;2019;2023
